Open,High,Low,Close,VWAP,Volume,Turnover,upB,midB,lowB,RSI,K,MACD,EMA,ADX,AroonUp,AroonDown,diff
776.0,785.0,776.0,782.2,781.4,2825935,220818898860000.0,797.4795468609309,740.1850000000001,682.8904531390692,72.59115846633615,84.67745588727571,6.210625881941107,744.3312419978212,29.15841744777077,0.0,78.57142857142857,9.0
786.0,797.7,786.0,794.35,792.79,3052370,241989865510000.0,803.9793515668634,744.76,685.5406484331365,76.9371257200275,84.67030450383825,6.194706583579098,747.558258643123,28.561820259392416,21.42857142857143,100.0,11.700000000000045
795.0,797.0,787.6,790.85,791.6,1832302,145044161575000.0,808.0387161518632,749.2975,690.5562838481368,73.22107911755788,85.15310783398702,5.541084957432947,750.3512742145344,28.007837155898233,14.285714285714286,92.85714285714286,9.399999999999977
796.0,797.8,787.25,793.75,793.29,1847797,146584631095000.0,812.2490181645071,753.5425,694.8359818354929,74.36114830599625,87.63302448199038,4.917831587248534,753.1511920071451,27.535127418103055,7.142857142857143,100.0,10.549999999999955
796.0,806.9,788.0,795.7,800.12,3259099,260768534044999.97,815.4923314768893,757.9150000000001,700.3376685231109,75.15152121697204,88.48563198267091,4.274448909523464,755.8962763937809,27.561276776600227,0.0,100.0,18.899999999999977
799.95,808.0,788.0,795.35,800.88,8352073,668901633495000.0,817.9452601925219,762.0250000000001,706.1047398074783,74.69232281733775,88.67604996165649,3.495653794429648,758.4416779167628,27.640495788345426,0.0,100.0,20.0
801.0,833.0,801.0,828.8,823.54,5031936,414401117000000.0,826.5228691890866,767.6775,708.8321308109134,84.65136979364641,89.299354827,4.821880248740541,762.9809245027782,28.768915695744518,7.142857142857143,100.0,32.0
831.0,843.0,830.05,836.75,835.81,3929854,328462449620000.0,836.5912771717773,772.905,709.2187228282227,86.09623222047028,89.41047146372475,5.759629991685983,767.7402196961473,30.147552010855748,0.0,100.0,12.950000000000045
843.0,845.0,835.0,840.5,838.75,4564004,382805586740000.0,845.58505573719,778.3050000000001,711.0249442628101,86.74995821183109,89.18187852052337,6.123570117070265,772.4343990705894,31.491999188152626,0.0,100.0,10.0
844.5,846.3,829.65,833.45,838.8,4241119,355745134880000.0,849.7368555591551,783.9825000000001,718.2281444408451,78.99176803757571,88.70408182994852,5.40559152375328,776.370889453132,32.23442995981571,21.42857142857143,100.0,16.649999999999977
833.0,841.7,824.15,836.25,833.03,4603751,383507206140000.0,853.4496813583455,789.4575000000001,725.4653186416547,79.78938976982674,88.20703500540756,4.663408414150574,780.2340578755106,32.416967607004935,14.285714285714286,92.85714285714286,17.550000000000068
835.1,858.7,821.1,828.75,844.5,9379270,792083673225000.0,854.6228521963209,794.3225,734.0221478036791,71.68875192664673,87.18860087917702,3.277010059255911,783.3641186577357,33.2512198716145,7.142857142857143,100.0,37.60000000000002
830.0,852.9,827.2,846.5,842.55,8754381,737598558435000.0,857.8587581791824,799.88,741.9012418208176,77.65443304670467,88.04718323241512,3.163434404413813,787.4374013249786,34.025882688751956,0.0,92.85714285714286,25.699999999999932
